erica| oh, drake, isn't it amazing? 
joey| yeah it is. . . what? 
erica| well, here we sit, devil may care, just a little while ago you were reattaching someone's spinal cord. 
joey| yeah, that was a tricky one. in reality, that operation takes like, over 10 hours, but they only showed it for 2 minites. 
erica| who's they? 
joey| no one. 
erica| oh drake, you are so talented, let me see those hands. oh these hands, these beautiful hands, oh i could just eat them. . . but i won't. 
joey| good, otherwise my watch would fall off.  
erica| no, seriously. these hands. these miracle, magical, life-giving hands. oh, just to be near them, touch them, maybe even lick one? 
joey| alright, just one.  that.   
waiter| oh my god! someone, he's choking. is anyone here a doctor? 
erica| well, yes, yes, the best doctor in all of salem, dr. drake remore.   
janitor| meet me in the nocturnal house in 15 minutes. 
ross| uhh, hey look, i don't really enjoy being with other men that way. but, um, zoo dollars? 
janitor| it's about your monkey. it's alive.   
erica| i don't understand, why didn't you help that man? 
joey| uhh, cause, uhh, i'm a neurosurgeon and that was clearly a case of, uh, uh, foodal chokage. alright, look, i got to tell you something. 
erica| no, no no no, you don't have to tell me anything. you don't have to explain yourself to me. ooh, who am i to question the great dr. drake remore? 
joey| but that's what... 
erica| i should just be happy to be near you. 
joey| hey i-  
erica| hey what? 
joey| that's it, just hey. like at the end of a dance, hey!  hey. he-hey.   
phoebe|  when you'll want to sleep with people just to make them like you. . . but don't. cause that's another thing that you don't wanna do, everybody that's another thing that you don't wanna do. 
monica| excellent! 
chandler| very informative! 
rachel| not at all inappropriate! 
phoebe| thank you for coming everybody. there're cookies in the back. 
rob| that was great, the kids loved you. 
phoebe| yay, i rock. 
rob| and you know why? because you told the truth, and nobody ever tells kids the truth.you were incredible. 
phoebe| but. 
rob| how did you know there was a but? 
phoebe| i sense these things. it was either but or butter. 
rob| the thing is, i think some of the parents, they were kinda hopin' that you'd play more songs about like, barnyard animals. 
phoebe| i can do that. 
rob| really? 
phoebe| yeah. 
rob| because that would be fantastic. what? you wanna kiss me? 
phoebe| thinkin' about it.   
janitor| ahh, the bat. ambassador of darkness, flitting out of his cave like a winged messenger, sightless spectre of the macabe. 
ross| buddy, my monkey? 
janitor| oh, yeah, right. there was a break-in, few months back, inside job. your monkey was taken. 
ross| oh my god. but the zoo told me that my monkey was dead. 
janitor| the zoo! do you believe everything the zoo tells ya? 
ross| that, that's the only thing the zoo's ever told me. 
janitor| of course they're gonna say he's dead. they don't want the bad publicity. it's all a great big cover-up. do you have any idea how high up this thing goes? 
ross| that guy lipson? 
janitor| lipson knows. do you have any idea who else knows? 
ross| no, i, i only know lipson. 
janitor| hmm, lipson knows huh? ahh, hello mr. opossum, enigma of the trees, upside-down denizen of the night, taunting gravity with... 
ross| buddy, my monkey, my monkey. 
janitor| word on the street - well, when i say street, i mean those little pretend streets they have here at the zoo. 
ross| of course. 
janitor| your monkey found a new career, in the entertainment field. that's all i know. 
ross| this is unbelievable. 
janitor| so, what is this information worth to you, my friend? 
ross| are you trying to get me to bribe you? 
janitor| maybe. 
ross| but you already told me everything.   
ross| check it out, he actually is the monkeyshine monkey. 
rachel| well, so what're you gonna do? 
ross| well, i guess i'm gonna call the beer company and try to find out where he is. 
chandler| that's what i did when i lost my clydesdales. 
phoebe| ok, hi again. 
all| hi phoebe. 
phoebe| today we're gonna start with some songs about barnyard animals.  oh, the cow in the meadow goes moo. then the farmer hits him on the head and grinds him up, and that's how we get hamburgers. nooowww, chickens!    
tv doctor| you're the only one who can save her drake. 
joey on tv| damnit, i'm a doctor, i'm not god. 
ross| well, there goes my whole belief system.   
erica| it's erica. 
joey| oh my god, quick turn off the tv. 
rachel| no no no, wait, i wanna see what happens. 
joey| uh, i get leslie out of the coma and then we make out. 
rachel| well how can that be, you were just kissing sabrina? 
monica| rachel, it's a world where joey is a neuro-surgeon. 
joey| hey erica, c'mon in. 
erica| how did you get here so fast, i just saw you in salem? 
joey| right, they uh, they choppered me in. what's up? 
erica| ohh, and i see you're having a little party too. is she here, huh, huh? 
joey| who? 
erica| sabrina. i know about you two. i saw you today kissing in the doctor's lounge. 
joey| it's not what you think, that was... 
erica| you told me i was the only one.  
joey| alright look, that's it. i don't think we should see each other anymore, alright. look, i know i should have told you this a long time ago but i am not drake remore, ok. i'm not even a doctor, i'm an actor. i just pretend to be a doctor. 
erica| oh my god. do the people at the hospital know about this? 
joey| somebody wanna help me out here? 
rachel| oh, i know, i know.  
erica| how, how can you be here and there. 
joey| 'cause it's a television show. 
erica| drake, what're you getting at? 
joey| i'm not drake. 
ross| that's right, he's not drake, he's hans remore, drake's evil twin. 
erica| is this true? 
rachel| yes, yes it is true. and i know this because, because he pretended to be drake to, to sleep with me.  
monica| and then he told me he would run away with me, and he didn't.   
chandler| and you left the toilet seat up, you bastard.  
erica| is all this true? 
joey| yes, i'm afraid it is. you deserve much better than me erica. you deserve to be with the real drake, he's the one you fell in love with. go to salem, find him, he's the guy for you. 
erica| oh hans.  
ross| hans...hans...yo evil twin. 
joey| right. goodbye erica, good luck in salem. take care 
erica| i'll never forget you hans.  
joey| ok, alright, the people who threw the water.   
phoebe| fired! why? 
rob| the library board has had a lot of complaints from parents about some of the stuff in your songs. 
phoebe| i can't believe it. did you tell your board about how kids want to hear the truth? 
rob| no. 
phoebe| i see. 
rob| maybe if you just played some regular kiddie songs. 
phoebe| no. what do you, what do you want me to be, like some stupid, big, like, purple dinosaur? 
rob| i'm not saying you have to be barney. 
phoebe| who's barney.   
ross| well, i tracked down marcel and get this, he's healthy, he's happy, and he's right here in new york filming outbreak ii - the virus takes manhattan. 
rachel| you're kidding. 
joey| this is amazing. 
ross| i know. 
joey| i finally get a part on tv and the monkey's makin' movies. 
phoebe| ok, rachel, i'm ready. 
rachel| ok.   
kid| excuse me. is this where the singing lady is that tells the truth? 
phoebe| um, yeah i guess that's me. 
kid|    
phoebe|  sometimes men love men, and then there are bisexuals, though some just say they're kidding themselves. la la-la-la la-la-la-la-la-la-la...   
ross| this is so exciting, i haven't seen my monkey in almost a year. 
chandler| what, you never look down in the shower? oh please. i'm not allowed to make one joke in the monkey-is-penis genre? 
security guard| c'mon people, back up please, back up, c'mon, c'mon, c'mon, c'mon. 
ross| uh, excuse me, uh, where can we find the monkey? 
security guard| i'm sorry guys, closed set. 
ross| uh, i'm sorry, you don't understand, i'm, i'm, i'm a friend of his. we uh, we used to live together. 
security guard| yeah, and i have a time share in the pocanos with flipper. 
monica| ross, there he is. 
ross| hey, hey buddy, marcel. marcel.  the jungle, the mighty jungle the lion sleeps tonight.   in the jungle, the mighty jungle the lion sleeps tonight.     
security guard| uh, excuse me folks this is a uhh... 
joey| closed set. we know but we're friends with the monkey.  
ross| good morning. hey pal, look who i brought. it's your old friend harry elefante.  
joey| woah, dude, burn. 
ross| i don't get it, he seemed so happy to see me yesterday. 
trainer| hey don't take it personal, he's under a lot of pressure, ya know, starring in a movie and all. 
rachel| now just how big of a star is marcel? 
trainer| in human terms, i'd say cybill shepard. 
all| woah. 
chandler|  you just really paranoid. 
director's assistant| hey sal, jerry wants to know if the monkey's ready for the subway set? 
joey| uh, excuse me. jerry is the director, which one's he? 
director's assistant| the one in the director's chair. 
joey| gotcha. phoebs, walk with me. 
phoebe| ok. um, how come i'm walking with you? 
joey| well, we're, we're just goin' over here so that we can get away from the horrible flesh eating virus, for the love of god woman, listen to me. is he lookin', is he lookin'? 
susie| we've got a problem. 
director's assistant| tell me. 
susie| i can't do chris's makeup. she refuses to acknowledge that she has a moustasche. 
director's assistant| is it bad? 
susie| it looks like one of her eyebrows fell down. now unless someone convinces her to let me bleach it, jean-claude van damme is gonna be making out with gabe kaplan. 
director's assistant| i'll talk to her. 
susie| i hate actors. 
chandler|  didn't see ya. 
susie| excuse me. 
chandler| ahhhh. 
susie| uh, is your name chandler? 
chandler| uh, yes, yes it is. 
susie| chandler bing? 
chandler| do you know me or are you just really good at this game? 
susie| i'm susie moss. fourth grade, glasses, i used to carry around a box of animal crackers like a purse. 
chandler| susie moss, right, yeah, wow, you look. . . great job growing up. 
susie| it's nice to see you're not still wearing that denim cap with all the little mirrors on it. 
chandler| oh, right, well yeah, i graduated fourth grade and realized i wasn't a pimp. 
susie| remember the class play? you, you pulled up my skirt and the entire auditorium saw my underpants. 
chandler| yes, back then i, uh, used humor as a defense mechanism. thank god i don't do that anymore.   
monica| oh my god, oh my god, oh my god. 
rachel| what what what what? 
monica| jean-claude van damme. i didn't know he was in this movie, he is so hot. 
rachel| ya think? 
monica| the muscles from brussels, wham bam van damme, did you see time cop? 
rachel| no, was he any good in it? 
monica| rachel, he like, totally changed time. 
rachel| wow, so why don't you go talk to him? 
monica| oh, yeah. 
rachel| what, so you go over there, you tell him you think he's cute, what's the worst that could happen? 
monica| he could hear me. 
rachel| ok, i'm doin' it for ya. 
monica| oh rachel don't, don't you dare, don't, don't. tell him i cook. 
rachel| excuse me. hi. 
van damme| hi. 
rachel| um, this is gonna sound kinda goofy but uhhm, my friend over there, who cooks by the way, um, she thinks you're cute. 
van damme| you don't think i'm cute? 
rachel| i, i don't know, um, do you think you're cute? ok, we're kinda gettin' off the track here. um, i was supposed to come here and tell you my friend thinks you're cute. so what should i tell her? 
van damme| you can tell her i think her friend is cute.   
chandler| no, stephen hurs was the kid who would eat anything for money, david stein was the guy who had no elbows. 
susie| ok, well then who was the kid that got caught masturbating? 
chandler| ok that's not what he was doing. alright, he was looking for his bus money.   
susie| oh that's me, i gotta go. 
chandler| oh uh, o, ok. 
susie| um, so listen, how many times am i gonna have to touch you on the arm before you ask me on a date. 
chandler| well, uh, let's try one more. . . there you go, say ernie's, 8 o'clock. 
susie| i'll be there, and who knows, if things go well, maybe this time i'll get to see your underwear. 
chandler| no one was around to hear that?   
monica| so what'd he say? 
rachel| agh, what a jerk. i kept talking about you and he kept asking me out. i mean, naturally, you know, i said no. 
monica| well, thanks anyway. 
rachel| he just kept asking, and asking, and asking, and asking, and asking, and asking. 
monica| rachel if you, if you want to go out with him, you can. sound like a big jerk to me but if that's what you want to do... 
rachel| jean-claude she said yes, i'll see you tonight. thank you.   
rachel| and then jean-claude took me to that place crossroads and that's where we hung out with drew barrymore. 
joey| oh man, she's so smokin, she has got the greatest set of. . . no guys around, huh. 
rachel| does anybody need anything? 
monica| oh, i'll have an espresso. oh acutally, i'll get it. if i ask you to, you'll probably end up drinking it yourself. 
rachel| that is so unfair. 
phoebe| i know. oh, like you would drink her coffee after what you did to her with van damme.   
ross| hey joey i have to cancel racketball for tonight, that was marcel's trainer. he's gonna let me have him for a couple of hours. 
joey| you're blowin' me off for a monkey? 
ross| hey, we can rescedule for saturday. 
joey| yeah, unless you hook up with a bunch of pigeons.   
chandler| hey, stick a fork in me, i am done. 
phoebe| stick a fork what? 
chandler| like, when you're cooking a steak. 
phoebe| oh, ok, i don't eat meat. 
chandler| well then, how do you know when vegetables are done? 
phoebe| well you know, you juist, you eat them and you can tell. 
chandler| ok, then, eat me, i'm done. 
chandler| i've met the perfect woman. ok, we're sitting on her couch, we're fooling around, and then suddenly she turns to me and says, 'do you ever want to do it in an elevator?' 
monica| what did you say? 
chandler| ahh, i believe my exact words were, 'flaign,en - sten'. i mean i didn't know what to say, how do you know if you wanna do it on an elevator? 
phoebe| oh, you just know.   
susie| oh, shoot, we gotta go, got a reservation in 30 minutes. 
chandler| oh no no no no, no no no no no no, you see, what i had planned shouldn't take more that 2, 3 minutes tops. 
susie| oh, 200 seconds of passion. we gotta go. 
susie| but um, here's an idea, have you ever worn women's underwear? 
chandler| well, ye, yes, actually, but, uh, they were my aunt edna's, and there were three of us in there. 
susie| well i was thinking it would be um, kind of sexy if you wore mine tonight, at dinner. 
chandler| you want me to wear your panties? 
susie| could ya? 
chandler| well, if i was wearing your underwear then, uh, what would you be wearing?. . . you're swell.   
ross| ok, got the music, got the dinner. oh and check it out, i made marcel's favorite dish, banannacake. 
joey| oooh. 
ross| with mealworms. 
joey| yaaahhh. ahhh, candles. what'dya thinks gonna happen here tonight?   
ross| hello. oh hi, are you on your way ove-. oh. no, no, i, i understand, i mean a monkey's gotta work. no it, it's no big deal, it' not like i uh, had anything special planned. yeah ok, ok. ok, ok, bye.    
phoebe| ok, rachel, why don't you start talking first. 
rachel| alright, i feel that this is totally unjustified.   she gave me the green light, i did nothing but-. do you think i can't see you in the tv set? 
phoebe| alright monica, if there is something that you would like to share... 
monica| ya know, you had no right to go out with him. 
rachel| that is the most ridiculous. 
monica| you sold me out. 
rachel| i did not sell you out. 
monica| yes you did. absolutely. 
rachel| would you let me talk.  
monica| did you just flick me? 
rachel| ok, well, you wouldn't let me finish and i was jus-  that hurt  
monica| quit flicking  
rachel| ow, you stop flicking. 
monica|" you flicked me first.   wrestling on the floor. all the while phoebe is saying ""happy thoughts"".  "
phoebe| ok, now i'm gonna kick some ass.   
monica and rachel| ow. ow. ow. 
phoebe| alright, now i will let go if you both stop. 
rachel| oh, what do you, you want me to stop seeing him, is that what you want? 
monica| uh-huh. 
rachel| you want me to just call him up and tell him that you're seeing him instead? that's what you want? 
monica| ok. 
rachel| oh that's what you want. 
monica| yes. 
rachel| fine. 
monica| fine, 
phoebe| there we go.you know what, if we were in prison, you guys would be, like, my bitches.    
ross| thanks for letting me tag along tonight you guys. 
joey| forget about it. 
susie| how you doin there squirmy? 
chandler| i'm hangin in. . . and a little out. 
joey| so, assistant to the director. that's a really exciting job, i mean, you must have a ton of cool responsibilities. 
director's assistant| i have nothing to do with casting. 
joey| so what're you guys gonna eat? 
susie| how come all i can think about is putting that ice in my mouth and licking you all over? 
chandler| because i went to an all boys high school and god is making up for it. 
susie| i want you right here, right now. 
chandler| right now, right here. don't ya think we're in kind of a public plaaaa   they do have the shrimp. 
susie| meet me in the bathroom.  
chandler| i'm going to the bathroom now.    
susie| c'mon. 
chandler| i can't believe we're doing this. 
susie| alright mister, let's see those panties. 
chandler| alrighty.  
susie| ooh. ooh. but ya know what would be even sexier? 
chandler| what? 
susie| if you didn't have your shirt tucked into them. 
chandler| oh. 
susie| alright. now i would like to see you wearing nothing but them. take your clothes off. 
chandler| ok, but uh, i hope you realize this means we're gonna miss hearing about the specials. 
susie| c'mon hurry, hurry. 
chandler| hey, do you want this done quick, or do you want this done right? 
susie| alright, turn around. time to see you from behind. 
chandler| ok.   
susie| oh, somebody's been doing his buns of steel video. 
chandler| well, you want me to uh, clench anything, or-... susie? susie. 
susie| this is for the fourth grade. 
chandler| huh? where, whaddya mean? 
susie| whaddo i mean. whaddya mean, whaddo i mean? i mean underpants, mister, that's what i mean. 
chandler| what, what's what you mean? 
susie| my skirt, you lifted, kids laughing. i was susie underpants 'till i was 18. 
chandler| that was in the fourth grade. how could you still be upset about that? 
susie| well um, why don't you call me in 20 years and tell me if you're still upset about this.  
chandler| alright, i hope you realize you're not getting these underpants back.   
monica| i can't believe this, just like 2 weeks ago i was watching sudden death, now i'm on a date with jean-claude van damme. can you beat up that guy?  beat up that guy? 
van damme| sure. 
monica| this is so wild. ya know, i gotta admit, i was kinda surprised that you agreed to go on a blind date. 
van damme| normally, i would not do it. 
monica| well, what made you make the exception for me? 
van damme| 'cause rachel told me uh, you were dying to have a threesome with me and uh, drew barrymore. by the way, drew has some groundrules and...    
monica| say you're sorry. 
rachel| no.  
monica| say it. 
rachel| no.    
monica| rachel, you say you're sorry or your sweater gets it. 
rachel| ok, ok, that is my favorite sweater, that is my third date sweater. 
monica| say you're sorry. 
rachel| ok, you wanna play? ok, let's play, let's play.   
monica| what're you gonna do? 
rachel| you give me back my sweater or it's handbag marinara. 
monica| you don't have the guts. 
rachel| oh yeah. well, at least i wasn't too chicken to tell some guy i thought he was cute.    
phoebe| oh alright, stop, stop the madness. this is crazy. who can even remember why this even started in the first place?   
phoebe| yes that's right. but still, i-, look at your purse, look at your sweater, look at yourselves. 
monica| i'll help you fix your sweater. 
rachel| i'll help you throw out your purse. 
monica| i'm sorry that i made you stop seeing him. 
rachel| well, i'm sorry i went out with him when i knew you liked him. 
monica| i'm sorry that i borrowed your gloves       
chandler| joey? 
joey| ma? 
chandler| joey! 
joey| chandler? what're you still doin' here, i though you guys took off. 
chandler| oh, no no no, she took off with my clothes. 
joey| are you naked in there? 
chandler| not exactly. . . i'm wearin panties. 
joey| huh, you uh, you always wear panties? 
chandler| no, no, this is the first time. 
joey| wow, talk about your bad luck, i mean, the first time you try panties and someone walks off with your clothes. 
chandler| i was not trying them out, susie asked me to wear them. 
joey| well, let me see. 
chandler| no. i'm not letting you or anybody else see, ever. 
joey| alright, alright.  someone's flossing.   
ross|  
joey| chandler's wearing panties. 
ross| what? let me see.  
chandler| no, no, you don't have to see. 
ross| hi tushie. 
chandler| alright, one of you give me your underpants. 
joey| can't help you, i'm not wearing any. 
chandler| how can you not be wearing any underwear? 
joey| oh, i'm gettin' heat from the guy in the hot pink thong. 
chandler| alright look ross i'll give you 50 dollars for your underpants.   
all| hi.      
chandler| hey phoebs, can i have the milk after you? 
phoebe| i'm almost done with it, keep your panties on.   
joey| hey, hey, and i'm in the movie. 
ross| what happened? 
joey| one of the virus victims called in sick, so cathy recommended me and boom, i'm dying on the gurney. oh ross, marcel just finished his last scene if you want to go down there and say goodbye. 
ross| ahh, oh that's ok, i mean, he's probably got, you know, parties to go to and stuff. but, ya know, he's moved on. hey, that, that's the way it goes right. 
phoebe|  
ross| what?      
van damme|  and me. drew was very disappointed. 
rachel| ok, well, bye.  
van damme| goodbye. 
monica| well, bye for me too.  
rachel| ok, well, bye-bye again.  
monica| ok. 
van damme| perhaps, uh, the three of us, just could. . . 
monica and rachel| oh, no no no no no. 
van damme| are you sure, i can crush a walnut with my butt. 
monica and rachel| no no no no. 
rachel| impressive. 
monica| but no. maybe if i were baking. 
monica and rachel| bye-bye.   
ross| bye marcel. see ya on the big screen. you keep people drinkin' that beer, ok. i miss you buddy.   
phoebe| you know, i think i want to write a song about all this. 
rachel| oh yeah. 
phoebe| yeah. oh, except one of the strings on my guitar is broken. hey, chandler, can i borrow your g-string? 
chandler| how long you been waitin' to say that? 
phoebe| about 20 minutes. closing credits     
van damme| can't you see what's going on here, this man is dying. 
joey| aaaaagggghhhhh. 
director| cut. 
van damme| can't you see what's going on here, this man is dying. 
joey| aaaaagggghhhhh. 
director| cut. 
van damme| can't you see what's going on here, this man is dying. 
joey| aaaaagggghhhhh. mommy 
director| cut. 
