jennifer aniston | previously on friends.
ross| hey.
rachel| hey.
ross| hey. how did you sleep?
rachel| good. you?
ross| good.
joey| i bet you did!
ross| uh. would you guys mind giving us a minute?
joey| sure, yeah. will you just keep an eye on the chick and the duck?
rachel| chick and the duck? didn't they die...
phoebe|  dive. yeah, they dove head-first into fun on    the farm. 
ross| so... 
ross| morning.
rachel| you too. last night was just wonderful.
ross| it really was.
rachel| i woke up today with the biggest smile on my face.
ross| i know, me too. it was... you know, it was like one of those    things you think is never gonna happen, and then it does, and it's    everything you want it to be.
rachel| uh-huh. i know. it was just, it was just the perfect way to say goodbye.     
monica| it's just a little bit more, honey.
erica| help me! this hurts!
chandler| is it really that bad?
erica| uh-huh! i think it's time to kick you in the nuts and see which    is worse! 
doctor| the baby's head is crowning. 
monica| oh! oh my god! that is the most beautiful top of a head i have    ever seen! chandler, you have to see this! 
chandler| i'm okay.
monica| chandler, you don't wanna miss this. this is the birth of your    child! it's the miracle of life!
chandler| alright. wow, that is one disgusting miracle.
doctor| start pushing. here we go. here come the shoulders... 
monica| it's a... it's a boy!
chandler| wow!
erica| is he okay?
doctor| he's just fine.
monica| oh, you did it!
chandler|  it's a baby! a beautiful little baby! and some   other stuff i'm gonna pretend i don't see.
doctor| would you like to cut the umbilical cord? (a nurse gives monica a pair of scissors. monica gives it to chandler,    and they cut it together.)
chandler| well, that's spongy.
monica|  oh, hey handsome! oh, i'm gonna love you so much   that no woman is ever gonna be good enough for you! (to chandler, on   the verge of tears) oh, we are so lucky!
chandler| i know. he has your eyes. 
chandler| i mean, i know that's not possible, but he does.
nurse| we'll just get him cleaned up a bit. (the doctor hands the boy to the nurse, and she walks over to another    part of the room with him.)
chandler| okay.
monica|  oh my god, he's beautiful. thank you so much.
erica| i'm really happy for you guys.
chandler| how do you feel?
erica| i'm tired!
doctor| well, you don't have that much time to relax. the other one    will be along in a minute. (chandler stares at the doctor, completely shocked. monica just    freezes and turns around slowly.)
monica| i... i'm sorry, who should be along in a what now?
doctor| the next baby should be along in a minute.
monica| we only ordered one!
doctor| you know it's twins, right?
chandler| oh, yeah! these are the faces of two people in the know! commercial break 
doctor| i can't believe you didn't know it's twins! this has never    happened before.
chandler| well, gosh. that makes me feel so special and good.
monica|  wait, did you know it was twins?
doctor| yeah, it's here in the paperwork we got from the clinic in    ohio.
monica|  anybody tell you?
erica| i don't think so. although, they did mention something about    two heartbeats. but i thought that was just mine and the baby's. they    kept saying both heartbeats are really strong, and i thought well,    that's good 'cause i'm having a baby.
monica| this is unbelievable.
erica| twins actually run in my family.
chandler| interesting!  can i see you for a second? 
chandler| what do we do?
monica|" what do you mean ""what do we do""?"
chandler|  twins! twins!!
monica| chandler, you're panicking!
chandler| uh-huh! join me, won't you?! okay, what do you say we keep   one, and then just like have an option on the other one?
monica| we can't split them up!
chandler| why not? we could give each of them half a medallion, and    then years later, they'll find each other and be reunited. i mean,    that's a great day for everybody.
monica| okay, what if the person who adopts the other one is horrible?
chandler| what if they're not? what if it's adopted by a king?
monica| yeah, because i hear the king is looking to adopt.
chandler| monica, we are not ready to have two babies!
monica|" that doesn't matter! we have waited so long for this. i don't    care if it's two babies. i don't care if it's three babies! i don't    care if the entire cast of ""eight is enough"" comes out of there! we    are taking them home, because they are our children!"
chandler|  okay. shhh... 
chandler| okay.
monica| okay!
chandler| okay!
doctor| it looks like we're about ready over here. 
doctor| come on, erica, start pushing again now.
erica| ow! 
doctor| here she comes!
chandler|  she? it's a girl?
doctor| yeah.
chandler|     and that's enough!   
ross| and then she said it was the perfect way to say goodbye.
joey| oh my god! what did you say?
ross| nothing! what do you say to that?
phoebe| ross, you've got to tell her how you feel!
ross| no way!
joey| you can't just give up! is that what a dinosaur would do?
ross| what?
joey| dude, i'm just trying to speak your language.
phoebe| ross, rachel doesn't know that you wanna get back together. if    she did, she might feel differently. she might not even go.
ross| you really think so?
phoebe|" i'm telling you! oh, okay! this is the part of the musical    where there'd be a really good convincing song.  ""bam-bam,    don't take no for an answer. bam-bam, don't let love fly away.    bam-bam-bam-bam..."" "
rachel| hi!
phoebe| can't a girl finish a song around here?
joey| hey!
rachel| hi! so i just dropped emma off at my mom's.
ross| okay.
joey| oh, you're not taking her with you tonight?
rachel| no, we decided that i would go ahead and set up first, and    then my mom would bring emma to paris on sunday.
phoebe| wow, eight hour flight with a one-year old? good luck, mom.
rachel| are you kidding? eight hours with my mother talking about    atkins? good luck, emma! 
ross| alright, you know what? you're right. i should at least tell her   how i feel. 
joey| ross, wait!
ross| what? what?
joey| could you get me a muffin? 
gunther| rachel?
rachel| yeah?
gunther| i... i know you're leaving tonight, but i just have to tell   you. i love you. 
gunther| i... i don't know if that changes your plans at all, but i   thought you should know.
rachel|  gunther... oh... i love you too. probably not in the   same way, but i do. and, and when i'm in a café, having coffee, or i   see a man with hair brighter than the sun, i'll think of you. aw. 
rachel| oh... bye guys. 
ross| oh my god!
phoebe| unbelievable!
joey| hey, you know what might help?
ross| i'm not getting you a muffin!    
monica| do you think they recognize each other from in there?
chandler| maybe. unless they're like two people who have lived in    apartments next to each other for years, and then one day they're    pushed through a vagina and they meet.
nurse| we're going to take erica to recovery now.
monica| there's something that we wanna tell you. we decided to name    the girl-baby erica.
erica| oh my god, that's just like my name!
monica| son of a gun, it is!
erica| anyway, i'm gonna go and get some rest. i'm really glad i    picked you guys. you're gonna make great parents. even chandler.
monica| okay, well, bye!
erica| bye!
chandler| bye!
monica| we'll call you!
erica| okay.
chandler| have fun at church-camp! (the nurses take erica to the recovery room. monica and chandler smile   at each other.)
monica| oh, look at these little bunnies!
chandler| i know! you ready to trade?
monica| okay.
chandler| okay.
monica| alright, let's see.. (they start trying to trade babies while holding one each. they have    no idea how to do it, so they just shift the babies around in their    arms. they give up pretty quickly.)
chandler| we could trade later.
monica| yeah, i'm good.      there is a white crib decorated with balloons in the middle of the    apartment. also, there are boxes all over the apartment. joey is  
phoebe| hey, what are you working on?
joey|" it's a... it's a ""welcome home"" sign for the baby. (he holds up a white poster with huge red letters. it reads, ""welcome   home baby."" there is also a huge red stain on the left of the poster.)"
phoebe| how sweet! oh, is that the baby? 
joey| no, i sat in the paint. 
ross| hey.
phoebe| hey. so, did you talk to rachel?
ross| no, and i'm not going to.
phoebe| what?
joey| why not?
ross| because she's just going to shoot me down. you guys saw what    happened with gunther. that did not look like fun.
phoebe| how can you compare yourself to gunther? i mean, sure, he's    sexy in a more obvious way. you have a relationship with her, you    slept together last night.
ross| yeah, and she still wants to go! it's pretty clear where she is.
joey| yeah, i know what you mean. i mean, sometimes... 
phoebe| uh, joe?
joey| damn it!
ross| look, even if i were gonna tell her, i don't have to do it now.    okay? i'll be seeing her again. we've got time.
phoebe| no, you don't! she's going to paris! she is going to meet    somebody. do you know how many hot guys there are in paris? it's...    it's a city of gunthers! 
mike| hey!
phoebe| hey! what do you have there?
mike|" oh, i made a little something. if i had more time to work on it,    it'd be better, but.. (he shows them a beautiful banner he has made. it reads, ""welcome to    the world, baby bing."")"
ross| oh my god! you did that yourself?
phoebe| honey, that's gorgeous!
joey| you know, the baby can't read, mike! 
rachel| hi! you guys, the car-service just got here. i can't believe   they're not home yet! i have to catch my stupid plane. i wanna see the   baby!
joey| monica just called from the cab. she said they should be here   any minute. and apparently, there's some big surprise.
phoebe| yeah, did she sound happy about it? 'cause my friend ethel's   baby was born with a teeny, tiny beard. 
rachel| oh my god!
ross| oh my god! 
rachel| hi! oh my gosh! 
chandler| hey. 
phoebe, ross, rachel| hey. (they turn back around to see the baby monica's carrying, but then    they realise what the surprise is. ross, mike, phoebe and rachel gasp    and stare at chandler and his baby. joey hasn't figured it out yet.)
joey|  hey, so what is the big surprise?
rachel| oh. (joey stares at chandler and monica and finally puts two and two    together. he gasps.)
ross| oh my god!
rachel| what... what...
ross| okay, okay, awkward question. the hospital knows you took two,    right?
monica| yes, it's twins!
ross| oh my god.
joey| oh, they're so cute! now, what, what kinds are they?
monica|  this is a boy, (points at    the baby chandler is holding) and that's a girl.
chandler| her name is erica.
rachel| aw..
joey| hey, that pregnant girl's name was erica.
chandler| yeah. it's a shame you two didn't get to spend more time   together.
monica| yeah, we named the boy jack after dad.
ross| aw, he's gonna be so happy.
phoebe|" oh, jack bing. i love that. ooh, it sounds like a '40s   newspaper guy, you know? ""jack bing, morning gazette. i'm gonna blow   this story wide open!"" (chandler and monica carry erica and jack over to the crib and put   them down carefully.)"
rachel| oh my gosh. wow, so beautiful.
mike|  i want one.
phoebe| oh yeah? well, tell me which one, and i'll try slip it in my   coat.
mike| seriously. wanna make one of those?
phoebe| one? how about a whole bunch?
mike| really?
phoebe| yeah! ooh, we could teach them to sing, and we can be like the   von trapp family! only without the nazis. although that sounds kinda   dull.
rachel| oh, you guys, i can't believe this. but i'll leave now, or i'm   gonna miss my plane.
monica| i'm just so glad you got to see the babies. 
rachel| me too. oh, i'm just sorry i'm not gonna be around to watch   you two attempt to handle this! alright, i can't say goodbye to you   guys again. i love you all so much.
monica| i love you.
chandler| i love you.
monica| call us when you get there.
rachel| i will. ross, come here. 
rachel| i just want you to know.. last night.. i'll never forget it.
ross| neither will i. 
rachel| alright, now i really have to go. okay. au revoir! oh, they're    gonna really hate me over there. 
phoebe| so, you just let her go?
ross| yeah.
joey| hey, maybe that's for the best.
ross| yeah?
joey| yeah. you know? you just... look, you gotta... you gotta think    about last night the way she does, okay? maybe, maybe sleeping    together was the perfect way to say goodbye?
phoebe| but now she'll never know how he feels!
joey| maybe that's okay. you know? maybe, maybe it is better this way?    i mean, now, now you can move on. i mean, you've been trying to for so   long, maybe now that you're on different continents.. (looks at   phoebe) right? 
joey| maybe now you can actually do it. you know? you can finally get   over her.
ross| yeah, that's true. except i don't wanna get over her.
joey| what?
ross| i don't! i wanna be with her.
joey| really?
ross| yeah, i'm gonna go after her.
joey| yeah, you are!
phoebe| woo! 
phoebe| wait, wait! get your coat! get your coat!
ross| my coat...
joey| this is so cool!
chandler| i have no idea what's going on, but i am excited!
joey| but ross, ross. what do you, what do you think she's going to   say?
ross| i don't know, but i.. look, even if she shoots me down, at least   i won't spend the rest of my life wondering what would have happened.   where - where is my coat?!
phoebe| you didn't bring one! my cab's downstairs, i'll drive you to   the airport.
ross| okay, guys, wish me luck.
phoebe| hurry!
joey| good luck, good luck!     
ross| there's no seatbelt!
phoebe| that's okay. if - if we hit anything, the engine will explode,    so you know, it's better if you're thrown from the car. 
ross| alright, alright, let's do this!
phoebe| okay! 
ross| hey!
man| 18th and east end.
phoebe| i - i don't take passengers.
man| hey! the law says you have to accept any fare.
ross| no, you don't understand. this isn't a real cab.
man| alright, i gotta report you. what's your medallion number?
phoebe|" my medallion number is, ""get out of the cab!"""
man| what?
ross|  get out of the cab!
phoebe| get out of the cab!     
joey| oh, hey, hey, can i give you guys your house-warming present    now?
monica| now, that you can do.
joey| alright! (cut to joey's apartment. joey looks inside the cardboard box that   used to be the home of chick jr. and duck jr., but they have   disappeared.)
joey| ah... chick jr.? duck jr.? don't hide from mama!    
phoebe| you can open your eyes now.
ross| are we off the bridge?
phoebe| yes.
ross| is the old woman on the bicycle still alive?
phoebe| yes, she jumped right back up. 
ross| oh my god, phoebe, slow down!
phoebe| do you wanna get to rachel in time?
ross| yes, but i don't wanna die in your cab!
phoebe| you should have thought of that before you got in! 
phoebe| toll-booth.
ross| what?
phoebe|  toll-booth! four bucks. there are quarters in the    glove compartment. (ross tries to open a plastic bag filled with quarters, but he's quite   slow.)
phoebe| hurry!
ross| okay!
phoebe| okay. (phoebe tries to throw some quarters out the window, but she has   forgotten to open the window, and she and ross scream.)
phoebe| damn, that window is clean.   
joey| quack, quack, tweet, tweet, quack, quack, tweet, tweet, quack,   quack, tweet, tweet, quack, quack, tweet, tweet, quack, tweet, quack... 
chandler| we were wondering what was taking so long with the gift, but   now we understand you were doing this.
joey| okay, i wanted to surprise you, but for your house-warming gift,   i got you a baby-chick and a baby-duck! 
chandler| really? you got us a chick and a duck?
monica| oh, great! just what you want for a new house with infants.   bird feces.
joey| yeah, yeah, they must have jumped off the table, 'cause now   they're gone!
chandler| oh, don't worry, we'll find them.
monica| actually, i'm gonna go check on the twins.
chandler| alright. (monica turns around and is about to leave when she steps on   something.)
monica| oh god! what did i just step on?
joey| oh!
chandler| it's okay, it's just an egg roll.
monica| oh..
joey| you stepped on my egg roll?
monica| i'm sorry, i didn't know to look for chinese food on the    floor.
joey| just put it on a plate and leave. 
chandler| okay, let's find these birds.
joey| alright. 
joey| wait, wait. do you hear that? 
joey| oh! they're in the table!
chandler| well, that can't be good!
joey| we gotta get them out of there!
chandler| how?
joey| oh, oh! maybe we can lure them out. you know any birdcalls?
chandler| oh, tons, i'm quite the woodsman.
joey| well, maybe we can just tip the table a little.
chandler| joey, wait! the ball!
joey| oh! (the ball rolls into one of the goals, and chandler and joey listen in    horror as the ball makes its way inside the table. finally, they can    hear the birds again.)
joey| oh god! so what do we do?
chandler| i don't know. maybe we can open this up somehow.
joey| okay.
chandler| no... it's all glued together.
joey| does that mean we have to bust it open?
chandler| i don't know. maybe.
joey| oh my god!
chandler| i know! it's.. it's the foosball table.
joey|" all right, you know what? we don't have a choice. it's like i would    have said in that sci-fi movie if i'd gotten the part. ""those are our    men in there, we have to get them out! even if i have to sacrifice the    most important thing in my life; my time-machine."""
chandler| did that movie ever get made?
joey| it did not.   
phoebe| ross, where are you going?
ross| to talk to rachel, isn't that why we took a ride in the    death-cab?
phoebe| what? what are you just gonna walk up to her at the gate? have    you never chased anyone through the airport before?
ross| not since my cop-show got cancelled.
phoebe| you have to get a ticket to get past security.
ross| what? we're never gonna make it!
phoebe| not with that attitude! now, haul ass! (they run to the ticket counter, but they get stuck behind a group of    old people who are walking very slowly.)
ross| okay, if you could all walk slower, that'd be great.      
gate attendant #1|  madame, your passport    please?
rachel| oh my god! i was so afraid i wasn't gonna remember any of my    high-school french, but i understood every word you just said!
gate attendant #1| your boarding pass, please.
rachel| oh. 
rachel| oh, shoot. i had it. oh, i can't believe this.
gate attendant #1| madame, if you don't have your boarding pass...
rachel| i have it, i have it, i have it. oh, okay, i can't find it,    but i remember that i was in seat 32c, because that's my bra-size.
gate attendant #1| madame, you must have your boarding pass..
rachel| okay, fine! but you know what? if i was in 36d, we would not  be having this problem.     
ross| hey, i need a ticket.
phoebe| just one? i drive you all the way down here, and i don't get    to see how it works out?
ross| fine, two tickets, i need two tickets.
phoebe| we're on our honeymoon.
ticket agent| and the destination?
ross| i don't care. whatever is the cheapest.
phoebe| i'm so lucky i married you.   
rachel| oh! shoot! damn it! where is it? oh! oh! i found it! i found    it! 
rachel| hah! i found it! i told you i would find it! in your face!  you're a different person.      
ross| okay, flight 421 to paris. i don't see it, do you see it?
phoebe| no, did we miss it?
ross| no, no, no. that's impossible. it doesn't leave for another 20    minutes.
phoebe| maybe we have the flight-number wrong. god. 
monica| hello.
phoebe| hey, it's me. here's ross.
ross| what? hey, hey, listen.. 
monica| oh my god! ross, you wouldn't believe the cute little noises    the twins are making. listen. 
ross| monica? monica, monica, monica, monica..?
monica| oh, i'm sorry. shoot, they were doing it before.
ross| that's alright. listen, listen.
monica| oh, wait, wait, wait! here they go again. 
ross| monica? monica, monica, monica, monica..?
monica| isn't that cute?
ross| that is precious! listen! i need rachel's flight information.
monica| oh, okay. alright, it's flight 421. leaves at 8:40.
ross| yes, that's what i have. it's not on the board.
monica| that's what it says here. flight 421, leaves at 8:40, newark    airport.
ross| what?
monica| newark airport. why, where are you?
ross| jfk. (ross sadly hangs up the phone, while phoebe looks at him. cut to rachel at the gate. she gives her boarding pass to the gate    attendant, and she goes onboard. the gate attendant closes the door  and locks it.)     
joey|  don't worry, you guys, we're gonna get you out of    there.
chandler| and we're also gonna buy you tiny, bird hearing-aids. (joey picks up a hammer and a crowbar and gets ready to destroy the    table.)
joey| okay. here goes.
chandler| what's the matter?
joey| i need to say goodbye to the table first.
chandler| i understand.
joey| okay. table, you have given us so many great times. and you    guys, jordan, victor, joel... all of you guys. what can i say? you    guys make us look good. you wanna say anything?
chandler| i don't know. except that, for one last time... (he touches    the players as he says the following) good game, good game, good game,    good game, good game, good game, good game.
joey| okay, here we go. i can't do it.
chandler| well, i can't do it either. 
monica| hey! did you find them?
joey| yeah, they're stuck inside the table!
chandler| we have to bust it open, but neither of us can do it!
monica| oh, well sure. this gotta be so hard. i'll do it. gimme! (monica grabs the hammer and the crowbar and gets ready to bust it  open.)     
ross| phoebe! wow! no, no, no! 
phoebe| well, i've never gone this fast before.
ross| phoebe, forget it, okay? newark is - is like an hour away.    there's no way we're gonna make it in time.
phoebe| she's got her cell, you could call her.
ross| i am not doing this over the phone.
phoebe| you don't have any other choice! (she lets go of the steering wheel to get her cell-phone from her    purse. ross screams and reaches over in order to hold onto the wheel. cut to the plane. rachel is sitting in her seat when her cell-phone    rings.)
rachel| hello?
phoebe| rachel? oh, good. hey, by the way, did you just get on the    plane?
rachel| yeah.
phoebe|  for what it's worth, we would have caught her if we were at the right airport.
ross| yay.
phoebe|" uh, rach, hang on. (phoebe tries to give her phone to ross, but he won't take it. he    mouths ""no."")"
rachel| phoebe? is everything okay?
phoebe| uhm, actually no. no, you've... you have to get off the plane.
rachel| what? why?
phoebe| i have this feeling that something's wrong with it. something    is wrong with the left philange.
rachel| oh, honey, i'm sure there's nothing wrong with the plane. (the passenger in the seat next to rachel looks at her and seems a    little nervous.)
rachel| alright, look, i have to go. i love you, and i will call you    the minute i get to paris. 
passenger #1| uhm, what was that?
rachel| oh, that was just my crazy friend. she told me i should get    off the plane, because she had a feeling that there was something    wrong with the left philange.
passenger #1| okay, that doesn't sound good.
rachel| i wouldn't worry about it. she's always coming up with stuff    like this, and you know what? she's almost never right.
passenger #1| but she is sometimes.
rachel| well... (the passenger stands up and gets his suitcase from the overhead    compartment.)
rachel| wait, what are you doing?
passenger #1| well, i can't take this plane now.
air stewardess| excuse me, sir, where are you going?
passenger #1| i have to get off this plane, okay? her friend has a    feeling something's wrong with the left philange.
rachel| could i get some peanuts?
passenger #2| what's wrong with the plane?
air stewardess| there's nothing wrong with the plane.
passenger #1| yeah! the left philange!
air stewardess| there is no philange!
passenger #1| oh my god. this plane doesn't even have a philange!
passenger #2| i'm not flying on it!
air stewardess| ma'am, please sit down!
passenger #3| what's going on?
passenger #1| we're all getting off. there is no philange! 
rachel| this is ridiculous! i... 
rachel| yeah, okay.     
monica| alright. my job here is done.
chandler| that was... impressive.
joey| yeah, you didn't even use the tools for most of it!
monica| yeah, they were just slowing me down. alright, i have to get    back to the babies. i'll see you girls later. 
chandler| sorry about the table, man.
joey| yeah.
chandler| you gonna buy a new one?
joey| probably not. nah. i don't know how much i'm gonna wanna play    after you go.
chandler| well, at least we got these little guys out.
joey| yeah.
chandler| aww, we were worried about you! hm. i guess i better get    used to things crapping in my hand, huh?
joey| i'm gonna miss these little guys. it was nice having birds    around again.
chandler| hey, you know what? maybe we should keep them here with you.
joey| what?
chandler| yeah, i mean we've got a lot going on right now. and, plus,    here they'd have their own room.
joey| i could get a goose!
chandler| you know, i - i think you're set with the poultry.
joey| thanks man. did you hear that, you guys? you're gonna get to    stay here! and, and it's good, you know, 'cause, 'cause now you have a    reason to come visit.
chandler| i think there may be another reason. so, awkward hug or lame    cool guy handshake?
joey| uh, lame cool guy handshake, yeah. (they do the lame cool guy handshake. they look at each other, and  then they hug.)      
gate attendant #2| ma'am, i assure you, the plane is fine.
passenger #2| and you fixed the philange?
gate attendant #2| yes, the philange is fixed. as a matter of fact, we    put a whole lot of extra philanges onboard, just in case. 
ross| where is she?
phoebe| i don't see her.
ross| rachel! rachel green!
phoebe| there she is!
ross| rachel! rachel!
gate attendant #2| wow, excuse me, sir, do you have a boarding pass?
ross| no, no, i just have to talk to someone.
gate attendant #2| i'm sorry, you cannot go any further without a    boarding pass.
ross| no, no, no, but...
phoebe|  rachel!! 
rachel| oh my god... what.. what are you guys doing here?
phoebe| okay, you're on.
rachel| what? what? ross, you're scaring me. what's going on?
ross| okay, the thing is..
rachel| yeah?
ross| don't go.
rachel| what?
ross| please, please stay with me. i am so in love with you. please,    don't go.
rachel| oh my god.
ross| i know, i know. i shouldn't have waited 'till now to say it, but    i'm.. that was stupid, okay? i'm sorry, but i'm telling you now. i    love you. do not get on this plane.
gate attendant #2| miss? are you boarding the plane?
ross| hey, hey. i know you love me. i know you do.
gate attendant #2| miss?
rachel| i - i have to get on the plane.
ross| no, you don't.
rachel| yes, i do.
ross| no, you don't.
rachel| they're waiting for me, ross. i can't do this right now, i'm    sorry. i'm sorry.
ross| rachel?
rachel| i'm so sorry. 
ross| i really thought she'd stay.
phoebe| i'm sorry.     
monica| well, that's it. everything's packed.
chandler| wow, this is weird.
monica| i know.
joey| yeah. uh, does this mean there's nothing to eat?
monica| i put three lasagnas in your freezer.
joey| i love you! 
joey| hey!
phoebe| hey.
joey| so did you guys make it in time?
phoebe| yeah, yeah, he talked to her, but she got on the plane anyway.
chandler| where's ross?
phoebe| he went home. he didn't want to see anybody.   
rachel|  ross, hi. it's me. i just got back    on the plane. and i just feel awful. that is so not how i wanted    things to end with us. it's just that i wasn't expecting to see you,    and all of a sudden you're there and saying these things... and... and    now i'm just sitting here and thinking of all the stuff i should have    said, and i didn't. i mean, i didn't even get to tell you that i love    you too. because of course i do. i love you. i love you. i love you.    what am i doing? i love you! oh, i've gotta see you. i've gotta get    off this plane.
ross| oh my god!
rachel|  excuse me?
air stewardess|  miss? please, sit down!
rachel|  i'm sorry. i'm really sorry, but i    need to get off the plane, okay? i need to tell someone that i love    love them.
air stewardess|  miss, i can't let you off    the plane.
ross| let her off the plane!
air stewardess|  i am afraid you are gonna    have to take a seat.
rachel|  oh, please, miss, you don't    understand!
ross| try to understand!
rachel|  oh, come on, miss, isn't there any    way that you can just let me off... 
ross| no! no! oh my god. did she get off the plane? did she get off    the plane?
rachel| i got off the plane.
ross| you got off the plane. 
rachel| i do love you.
ross| i love you too, and i'm never letting you go again.
rachel| okay. 'cause this is where i wanna be, okay? no more messing    around. i don't wanna mess this up again.
ross| me neither, okay? we are - we're done being stupid.
rachel| okay. you and me, alright? this is it.
ross| this is it. unless we're on a break. 
ross| don't make jokes now.       holding the twins. joey and phoebe are sitting by the window, while    ross and rachel are standing together. the apartment is completely  
monica| okay, please be careful with that. it was my grandmother's. be    careful. 
monica| if that falls off the truck, it wouldn't be the worst thing. 
ross| wow.
rachel| i know. it seems smaller somehow.
joey| has it always been purple?
chandler|  look around, you guys. this was your first    home. and it was a happy place, filled with love and laughter. but    more important, because of rent control, it was a friggin' steal! 
phoebe| hey, do you realise that at one time or another we all lived    in this apartment?
monica| oh, yeah, that's true.
ross| uh, i haven't.
monica| wait a minute. what about that summer during college that you    lived with grandma, and you tried to make it as a dancer?
ross| do you realise we almost made it ten years without that coming    up?
monica| oh, honey, i forgot. i promised treeger that we'd leave our    keys.
chandler| oh, okay. (chandler and monica walk over to the kitchen-counter and leave their    keys. then the other four pick out their keys and leave them as well.)
phoebe| so, i guess this is it.
joey| yeah. i guess so.
monica|  this is harder than i thought it would be.
chandler| oh, it's gonna be okay. (chandler hugs her. monica hugs ross and rachel as chandler gets the stroller with the    twins.)
rachel|  do you guys have to go to the new house right away,    or do you have some time?
monica| we got some time.
rachel| okay, should we get some coffee?
