jennifer| previously on friends...
chandler| we close escrow tomorrow, so seeing another house can only confuse    us, and we're easily confused. we're not very bright.
monica| but what if it is better than ours? should we at least look?
chandler| what do you think pheebs?
phoebe| well, i think that shirt makes you look like you should work at a baskin    robbins... anyway... hey, isn't joey's agent estelle leonard?
chandler| yeah.
phoebe| she died.
chandler| you're kidding!
monica| that's terrible!
phoebe| yeah, last saturday. wow! she was the first black man to fly solo across    the atlantic.  oh, wait a minute, i read the    wrong one.
chandler| oh yeah? 
phoebe| yeah, she was just an agent.
monica| joey's gonna be *so* upset. 
chandler| i know. *he* always wanted to be the first black man to cross the    atlantic.
phoebe| well, we cannot tell joey about this. he's already flipping out about    everything that's changing. this will push him over the edge.
monica| seriously, you don't think we should tell him?
phoebe| well, not for a little while. let's just give him a few days to get    used to everything else.
monica| what if he reads it in the paper?
chandler| unless snoopy says it to charlie brown, i think we're okay.   
mr zelner| may i help you?
ross| yeah, i'm a friend of rachel green's. uhm, actually we met at the christmas    party about two years ago.
mr zelner| oh right, uhm, don?
ross| close. ron. 
mr zelner| uh... what can i do for you?
ross| uhm, well... i'm here to see if you'll give rachel her job back.
mr zelner| ah, did she ask you to come here and do this?
ross| oh, no. at first i have to get you to agree. then we'll    see if she wants to come back.
mr zelner| wow, that is tempting. 
ross| look, she loved her job here. and let's face 
  it| you're not gonna find anyone who did it as well as she did it. isn't that    true?
mr zelner| she is good!
ross|  huh, i took a shot there.
mr zelner| but i'm sorry. there's nothing i can do... ah,    it's not true, there is... nothing i want to do.
ross| i see... thanks very much. (he gets up and walks to the door. on his    way out he looks at the photographs mr zelner has near his door. he picks one    up.) is this your son? 
mr zelner| yeah, his name is ross.  what?
ross| oh, nothing, it’s just, it’s close to ron. does he.. does    little ross like dinosaurs by any chance? 
mr zelner| yeah, they're all he talks about, why?
ross| how would he like to come with me to the museum of natural history after    everyone else has left, just the two of us, and he can touch anything he wants.    . i just heard it as you must have heard it and that’s    not good. let me start again. i’m a paleontologist, you’ll be there    with us and the touching refers only to bones… fossils!
mr zelner| you can really arrange that?
ross| you let rachel come back, and it’s done. 
mr zelner| well, i guess having rachel back wouldn’t be the worst thing    in the world.
ross| yeah! yes! thank you! this is great. thank you so much. and i swear,    your kid is going to have the time of his life.
mr zelner| that’s great. i worry about little ross. he’s always    reading, he's collecting rocks and he’s obsessed with dinosaurs.
ross| he’ll be fine.   
joey| hey phoebe.
phoebe| hey. everything ok?
joey| i’m just mad at my agent.
phoebe| estelle? why?
joey| there’s a part in a tv movie that i would be perfect for and i    didn’t even be put up for it! she’d better have a good reason.
phoebe| i’m guessing she does.
 joey| well  i’m wanna hear it,    because she keeps doing this.
phoebe| well, no, no, wait, wait, wait. all right, i gotta go. just listen. promise me, that you    will wait a minute before you call her.
joey| ok. why?
phoebe| because a promise between friends means never having to give a reason.    
joey| i love that saying! (phoebe is outside, taking her cell phone out of her bag and making a call.    joey is inside, and his mobile phone starts ringing).
joey| hello?
phoebe | joey, it’s estelle.
joey| i was just gonna call you! that’s weird.
phoebe-estelle| it’s a little coincidental, but believable.    . listen, i’m sure you’re wondering why    i didn’t get you an audition for that tv movie.
joey| yeah, actually i am!
phoebe-estelle| i guess i dropped the ball there. whoopsie!  
joey| that’s it? you know, it seems all you do lately is drop the ball.
phoebe-estelle| don’t take that tone with me. who you    think you are? alan lemond, the first black man to fly solo across the atlantic?
joey| no, no, look. all i’m saying is that you’re my agent, ok?    and you’re not getting me into any auditions and i’m tired of it.
phoebe-estelle| what are you saying?
joey| i’m saying that… . this isn't  working for me    anymore, ok? estelle, you’re fired. goodbye. .
phoebe| man, tough week for estelle!    
ross| hi.
rachel| hi.
ross| emma left her stuffed t-rex at my house. you know she can’t sleep    without it.
rachel| oh, well, she’s asleep now. stop forcing that thing on her.
ross| ok.
rachel| oh, you’re not gonna believe what happened to me today! ralph    lauren called, and gave me my job back!
ross| nooo!
rachel| yee. i mean, it was so weirdest thing. they fired me and then out    of nowhere they just hire me back! i mean, that place must have been falling    apart without me.
ross| so, you’re not going to paris.
rachel| no, i’m still going.
ross| wh… wh…what?
rachel| when the louis vuitton people found out that ralph lauren wanted me back,    the offered me more money! isn’t that great?
ross| yeeeah!      
monica| hi. we’re buying the house next door, and we were wondering if we  could just take a look around.
lady| oh, sure. i’m showing it to someone else right now,    but please, look around.
monica| thanks.
chandler| it feels like we’re cheating on our house.    and if we’re gonna cheat, shouldn’t it be with like a hot, younger house,    that does stuff that our house won’t do?
monica| ours is so much better! this living room is smaller, the dining room looks    like a cave! what a hole!
lady| so? what do you think?
monica| love it!
lady| well, we already have one offer on it, and i think the lady    upstairs is goning to make another one.
monica| they could be our neighbors, what are they like?
lady| oh, the woman upstairs is very nice. she and her husband have two kids,    he's on wall street and she…
janice| oh my god! .
chandler | sure.   
phoebe| hey joey, want come with me to… are you ok?
joey| yeah, i just… i just feel bad about firing estelle. this is got to be    killing her.
phoebe| no, that wouldn’t kill her. ordinary embolism might.
joey| i don’t know. she’s got to be taking it hard, i was like    her only client. except for this guy who eats paper. and i’m guessing    he eats more money than he makes. look, i know she’s not a great agent, but    she did stick with me for ten years. i’m gonna call her and hire her again.
phoebe| no, no, no! don't call her! you wait for her to call    you 
joey| why?
phoebe| because patience is the road to understanding  which ...    is the key... to a happy heart.
joey|  you blow me away. 
phoebe|  all right, so promise you're gonna wait for her    to call you?
joey| i promise. and that means, never having to give a reason. (phoebe stops    herself from laughing and leaves)    
janice| what a small world!
chandler| and yet i never run into beyonce!
realtor| you two know each other?
janice| oh, we go way back. before monica made an honest man    out of him, chandler used to be my little love muffin! (does her irritating    laugh). so? are you guys thinking of getting this house too? ooh! are we gonna    have a bidding war? i'd better warn you, i'm a toughie (playfully punches chandler,    who tries to get away from her)
chandler| 
monica| no, actually, we're buying the house next door. 
chandler|  why!?
monica|  i don't know    why.
janice| ooh, that decides it then. i was on the fence.    but knowing that you two would be our neighbors? ah! now we have to    get it!  ellen, we're going to talk    numbers.  
chandler| this can not be happening!
monica| okay, the realtor said another couple made an offer.    maybe the janice's won't get it! maybe the other couple will.
chandler| the only way that that is going to happen, is if the other couple    are the hitlers.
monica|     all right. what if we got both houses? huh? we can turn this house    into a guest house.
chandler| that is a great idea! and by the way, i don't mean to sound distasteful,    but when did you start crapping money!?
monica| okay, you come up with an idea.
chandler| alright alright, we still have three hours till escrow closes on    our house. we can still get out.
monica| but we love our house.
chandler|" will we love it so much with her next door? and she's gonna be louder    out here too. just the crickets and  ""oh my god""!  "
monica| okay, but if we don't get this house, she's stil gonna show up wherever    we go! i mean, at least if she's here, it eliminates the element of suprise.    i mean, never again will you have to hear the three words that make your balls    jump back up inside your body. (she shows this with her index finger, mimicking    it pushing something up)
chandler|  well, we    have to do something. we can't have her living next door. (janice's laughs loudly    outside) oh, that does it too.    
r zelner| who is it?
ross|     look, i um, i now rachel turned you down but i think there is a way you might    be able to get her to come back. 
mr zelner| this may surprise you, but re-hiring fired employees,    is not my main job.
ross| just hear me out. how would you feel about offering her a raise? (looks    hopeful)
mr zelner|  not good, ron. 
ross| perhaps i can persuade you. what if you can give your son this (takes    a huge egg out of his back) genuine pterodactyl egg  replica.
mr zelner|  wow, that's    pretty cool 
ross| huh? so? we have a deal?
mr zelner| okay, you got it.
ross| yes! yes! 
mr zelner| this is gonna make me very popular.
ross| oh,  believe me, the ladies, they love it!
mr zelner|  i meant with my son.
ross| good, 'cause the ladies, not so much. (shakes his head, give him a thumbs    up and leaves)    
answering machine| joey, this is al t. booker, (looks annoyed  that he called him) the guy who eats paper. i'm sure you've heard that estelle  passed away.  i wanted to let you know there's a memorial for her  at the westside chapel, tomorrow at ten. hope you can make it. 
joey| oh my god.  hello?
phoebe|  joey,    it's estelle. 
joey| estelle?
phoebe| yeah, i wanted to call and tell you that there's no hard feelings for    firing me.
joey|  ok-ay. i just, i can't believe you're calling me?
phoebe| well, i didn't think i should just drop by...
joey| no, no, no!  don't drop by,    don't drop by!
phoebe| anyway, you did what you had to do. i'm okay.
joey| can i ask you something? uhm, what's it like there?
phoebe|  it's alright. look kiddo, i gotta go. good luck with    the career. you're gonna be huge.
joey|" thanks for everything estelle. bye.     ""out of area"". boy, i'll say.    "
janice| well... i just talked to sid, we are definitely putting in an offer on  the house... a-a-and i'll bet we get it.
chandler| the hitlers will be so disappointed.
janice| all right, i got to run. tell monica i say goodbye. and... i'll see    you later, neighbor. 
chandler| wait! i just want you to know that... i'm so happy you're going to    be here.
janice| oh, me too... 
chandler| because... that way... we can pick up where we left off.
janice| huh?
chandler| i never stopped loving you.
janice| oh... my...
chandler| yeah, yeah, yeah! i want you... i need you... i must have you janice    litman goralnik neihosenstein.
janice| chandler, what are you talking about?
chandler| now that you live next door, we can be together every day. sid and    monica never have to know a thing.
janice| i don't know what to say... i mean, you know, obviously we have this...    heat between us.
chandler|  obviously.
janice| but i love my husband. and i know you love your wife. now, i don't    think we should get this house now.
chandler| don't say that. don't tangle the dream and take it away.
janice| chandler, one of us has got to be strong.
chandler| i understand.
janice| although, maybe just... one last moment of weakness... (she kisses    chandler flat on the mouth. chandler squirms. when she's finished, he looks    at her lovingly but uneasily.) goodbye chandler bing. 
chandler|  they're never coming down now.    
rachel| hi!
ross| hey!
rachel| you are never going to believe what happened to me today.
ross| what?
rachel| ralph lauren called again and they offered    me more money.
ross| they did?
rachel| yeah. it was the weirdest thing. zelner called me and he said we'll    do everything we can to get you back. and that i should thank some ron... i    don't even know what department that guy's in.
ross| so, what are you gonna do?
rachel| well, i took it.
ross| that's great! so you're staying in new york!
both| yay! whoo! yay!
ross| you're excited, right?
rachel|  ye-ah. yeah! you know, the money's great.    it's certainly the easier choice...
ross| right!
rachel| yeah, you know, was i looking forward to going to    paris? sure. you know, was i excited about working in the fashion capital    of the world? ooh, absolutely... oh...! yeah, but you know, this is... it's    fine. i'm fine going back to a job where i've pretty much gotten everything out of    that i possibly can... (she sits down, and ross who is stunned to hear all this    follows her example)
ross| uhm, i hadn't no you... i had no idea you were so excited about paris.    uhm, i mean, you said you were scared.
rachel| well yeah, but i mean, it was good scared though, you know? like when    i-moved-to-new-york scared. or uhm, when i-found-out-i-was-gonna-have-emma scared...    but this is... fine. this is gonna be good. 
ross|  you should go.
rachel| what?
ross| it's what you want. you should go.
rachel| you really think so?
ross| i really do.
rachel| but i already told zelner that i would come back...
ross| (picks up a skull of some carnivore from his side table and puts it in    the same bag in which he brought the pterodactyl egg to zelner) i'm sure he'll    understand.
rachel| all right. all right! i'm gonna do it. i'm gonna go to paris.
ross| yeah...
rachel| yeah! i'm going to paris. thank you, ross!
ross| yeah, yeah, oh! 
rachel| oh! oh, i'm so happy.
ross| then i'm happy too.  commercial break    next to him is a blown op photograph of estelle behind her desk and there's  
