jo lynn| this kitty is mittens and this one is fitzhugh, and this little guy    in the cat condo is jinkies.
phoebe| oh my god!  i love things.  what happened?
rachel| well, um, first he told me he liked how i looked.  and, ah, then we    had a little . . . um . . . eye-contact.
phoebe| eye-contact?
rachel| mm-hmm.
phoebe| i hope you were using protection.
waiter|   excuse me.  um, these are from the two    gentlemen at the end of the bar.
rachel| oh.   should we send them something back?
phoebe| oooh.  let's do.  let's send them mashed potatoes.
rachel| no!  wait!  no, no.  don't do that!  that's going to make them think    they can come over here.
phoebe| so?  what if they do?
rachel| well, we're not here to meet guys.  you have a boyfriend, i have a    b. . . baby and a ross.
phoebe|" yeah, but, ah, ah, nothing has to happen.  we're just having fun.     you know, not everything had to go as far as ""eye-contact.""  "
monica| chandler, you have to tell joey that you're not in tulsa.
chandler|" don't you think it's better for him to think that you're cheating    on me, than for him to think that i'm cheating on him?  (monica tips her head    slightly as if asking ""did you hear yourself?"")  i heard it."
monica| i don't want him to think that i'm having an affair.
chandler| all right.  i've got a plan.  i'll go down the fire escape.
monica|" yes, because all good plans start with, ""i'll go down the fire escape."""
chandler| hear me out woman.  i'll go down the fire escape.  then, i'll wait    for a while.  then, when i come up the stairs, it'll be just like i just got    back from tulsa.  then, joey and i will come in and see that there's no guy    in here.
monica| aren't you afraid that joey's going to figure all of this out?       i heard it. (chandler runs to the window, opens it, starts out, but returns, casually walking    back to his chair.)
chandler| i'm just going to wait for a little while.
monica| scary pigeon's back?
chandler| it's huge.    the plastic tripod are left in the otherwise empty pizza box.  mike is making    hollow popping noises with his mouth.  he begins to speak, but stops and pops    his lips a few more times and takes a drink.  ross smiles as if he has thought   
rachel| oh my god.  i can't believe you live in that building.  my grandmother    lives in that building.  ida green?  no sense of personal space?  kind of smells    like chicken?  looks like a potato.
bill|" ""spuds"" is your grandmother?"
rachel| that's my bubby!
kevin| so, we're on our way to a couple of parties.  um. . . maybe we can get    your numbers and give you guys a call if we find something fun.
phoebe| yeah. . . i'm sorry.  we weren't really looking for anything to happen    with you guys.  i, i have a boyfriend. 
  kevin| all right. it's no big deal. 
  bill| so, she has a boyfriend. what is your situation? 
  rachel| oh, well, it's complicated. i don't actually have a boyfriend.  but    um. . . 
  bill| then, can i have your number? 
  rachel|  i'm sorry, no. 
  bill| okay.  
  rachel| oh sure.   
  phoebe|  oh my god, you're giving your real number. 
  bill| okay, thanks. i'll give you a call later tonight. 
  rachel| great. 
  bill| bye 
  phoebe| bye.  wow. so, that's great. you, bill, ross, and emma    are going to be so happy together. what were you thinking?
rachel| i don't know.  he was cute, and he liked me.  it was an impulse.
phoebe| what about ross?  what about your moment?  don't you want to talk to    ross about it?
rachel|" no.  no, because i know exactly how the conversation's gonna go.  ""hey    ross, you know, i think we had a moment before."""
rachel|"   ""me too."""
rachel|"  ""well, but i'm not sure i really want to do anything about    it."""
rachel|"  ""me neither."" (clears throat    again.)"
rachel|"  ""well, should we just continue to live together and not    really tell each other how we're really feeling?"""
rachel| 
phoebe| yeah, i see what you mean.  by the way, nice ross imitation.
rachel| oh, thanks.
phoebe| but, your rachel wasn't whiny enough.
rachel|  wha. . . hey!
phoebe|  better!
rachel| well, the point is, maybe i should just stop waiting around for moments    with ross, you know?  i should just . . . move on with my life.
phoebe| really?  you're moving on from ross?
rachel| i don't know.  do i have to decide right now?
phoebe| well, you kind of just did.  that guy is going to call you tonight.     ross is going to pick up the phone and that's a pretty clear message.
rachel| oh god, ross.  ross is going to pick up the phone.  oh, i have to get    my number back.    oh my god.     he's gone.
phoebe|"  ""oh, i have to get my number back.  oh my god.     he's gone.""   dead on.    ross is fidgeting with the cuff of his sweater while mike blows his cheeks out.     ross blows a piece of fuzz from his finger.)"
mike|  ya know, i'm going to take off.
ross| so soon?
mike| well, yeah.
ross| okay.  well, thanks, ah, thanks for the beer.
mike| ah, you mean lager.
ross| ah yeah.  good times. 
mike|  oh. (ross, inside the door, releases a sign of relief.  back in the hall, mike's    cell phone rings.)
mike| hello?
phoebe|  hey, mike, it's me.  listen,    is um, is ross near you?
mike| uh, no.  i just left.
phoebe| well, you have to go back in.
mike|" wha . . .?  go back?  to the ""land where time stands still""?"
phoebe| i'm so sorry honey, but, okay, rachel gave this guy her number and,    um, she doesn't want ross to answer the phone.  so, you have to intercept all    his calls.
mike| i can't do that!
phoebe|  he says he can't do that.
rachel| oh give me , , ,    hi, mike?  hi.     listen.  i know this is a lot to ask, but you know what?  if you do this i .    . . phoebe will . . . do anything you want.  seriously, i'm talking dirty stuff.
phoebe| all right.   hello?  hi.  i'm sorry    about her, but she wasn't wrong about the dirty stuff.
mike| all right.  i'll do it.       but really, how much dirtier can it get?
phoebe|  oh, mike.  bye. 
mike| hey buddy.
ross| uh, hi.
mike| um, can i come back in?
ross|   why?  (he starts    to lower his arm.)
mike|  i, i was just thinking about how much more we    have to talk about.
ross|  but you left.  
joey| wow!  that didn't take long.  i thought you said tulsa was, like a three    hour flight.
chandler|  well, you're forgetting about the time difference. 
monica|  chandler!  you're home!
chandler| that's right.  you're husband's home.  so, now the sex can stop. 
monica| what are you saying?
chandler| joey said that you're in here with another man.
monica| there's no man in here.  how dare you accuse me of that.  (she slaps    chandler.)
joey| all right.  all right.  then, maybe you won't mind if me and my friend    take a look around, huh?  (he checks the bathroom shaking the bat.  then he    proceeds to their bedroom.)  bwa-ah-ah! 
chandler|  what is he doing?
monica|  i arranged some pillows on the bed to look like a guy.
joey|  bedroom is clear, although you might need some new pillows.
chandler| all right.  well, i'll check the guest room.
joey|   why do i smell men's cologne?
monica|  i think that's you.
joey|   oh yeah.  i rubbed a magazine on myself earlier.
chandler| there's nobody here joe.
joey| i guess not.
monica| i can't believe you thought i was cheating.   you    own me an apology.
joey| yeah, right monica.  i'm so sorry.
monica|  ah, it's an honest mistake.  it could    happen to anyone.  all right, see ya.
joey|  whoa,    whoa.  wait a minute.  wait a minute.  if you just got back from tulsa, how    did your suitcase beat you here?
chandler|  i climb down the fire escape and you    can't put that in the closet? 
mike| so, except for the fermentation process, beer and ale are basically the    same thing.  fascinating isn't it.
ross|" maybe you should look up ""fascinating."" "
mike| i'll get it.  (he lunges across ross's lap on the sofa to reach the phone.     ross stares at him with wide eyes.)  hello?  ross's place.  mike speaking.       it's for you.
ross|  i don't understand what just happened    here. 
joey| what's going on?
chandler| i'm sorry.  i, i told you i was in tulsa because i wanted to spend    the night with monica and i, i didn't know . . .  i didn't think you'd understand.
joey|" what? you think i'm too dumb to understand that a husband needs to be    with his wife?  huh?  do you think i'm like, ""duh.""  (he strikes himself in    the head with the bat.  he stands dazed for a moment.)"
monica| joey?
joey| yeah?  
monica| i don't know what to say.  we shouldn't have lied to you.
chandler| yeah.  i feel so bad.  is there anything i can do to make it up to    you?
joey|  yeah, you could go to the game with me, ah, even though i know    you said you couldn't.  but then you lied to me and tricked me and gave me a    bump on the head.
chandler| i'm sorry.  that's the one thing i can't do.  i promised i'd be with    monica.
joey| all right.
monica|  you can go.
chandler| what?
monica| you should go to the game.  it's okay.  i want you to.
chandler| really?  you're gonna be okay?
monica| yeah, i'll be fine.  you know, maybe i'll stay here and practice the    art of seduction.
chandler| you're gonna put on sweats and clean, aren't you?
monica| it's gonna be so hot!  
chandler| okay, bye.
monica| have fun.
joey| thanks.  (joey and chandler exit to the hall.  joey pulls out the tickets    and hands one to chandler.)  here's your ticket.
chandler| hey, listen.  i'm never going to lie to you again, okay?  and i want    you to know that nobody thinks you're stupid.
joey| thanks man. (chandler heads toward the stairs, but makes a turn back to his apartment while    looking at the ticket.)
joey| where are you going?
chandler| game's tomorrow night joe. (chandler goes into the apartment, while joey checks his ticket and is embarrassed    by his stupid mistake.) 
rachel| hi. 
ross| oh god.  
rachel| oh . . . 
mike| i'm so glad you're back.  
phoebe| oh.
rachel| wow.  so, what did you guys do?
ross| oh, you know . . . we just drank some beer and mike played with the boundaries    of normal social conduct.
mike| it's true.  i did.
phoebe|  well, good bye. 
rachel| that was fun pheebs.
phoebe| i know.  that was fun.  
rachel| see you guys.  
ross| rachel, lock the door.  lock the door,  seriously.
rachel| oh shoot.  i forgot to pay phoebe for the drinks.  (she exits to the    hallway and closes the door behind her.)  wait, wait.  sorry.  did he call?     did that guy call?
mike| no.  just his mom.
rachel| oh, around 8:30?
mike| yeah.
rachel| then, again at 9:00?
mike|  uh-huh.
rachel| yeah. 
ross|" hello.    ah, no, she's not here right now.  can i take a message?       okay, ""bill from the bar.""     i'll make sure she gets your number. (he hangs up the phone and tears the note off the pad.  then, he stops and    re-reads it.  rachel enters.)"
rachel| aaah.  
ross| so, ah . . . so, how was it?   uh, did you guys. . . did you guys have    a good time?
rachel| oh, it was so much fun.  it felt so good to be out.
ross|  uh, rach.
rachel|  yeah?
ross|   never    mind.  
ross| hey you guys.  
mike| hey.
phoebe| hey.  i'll be right back.  i've got to go to the bathroom.  (she rises    and exits.) (ross and mike glance at each other then both suddenly turn to phoebe who is    gone.  they sheepishly exchange glances.)
